ID,department_ID,color_ID,minRank
10000007-0000-0000-0000-000000000001,d0000001-0000-0000-0000-000000000001,10000006-0000-0000-0000-000000000001,1
10000007-0000-0000-0000-000000000002,d0000001-0000-0000-0000-000000000001,10000006-0000-0000-0000-000000000002,5
10000007-0000-0000-0000-000000000003,d0000001-0000-0000-0000-000000000002,10000006-0000-0000-0000-000000000003,1
10000007-0000-0000-0000-000000000004,d0000001-0000-0000-0000-000000000002,10000006-0000-0000-0000-000000000004,5
10000007-0000-0000-0000-000000000005,d0000001-0000-0000-0000-000000000003,10000006-0000-0000-0000-000000000005,1
10000007-0000-0000-0000-000000000006,d0000001-0000-0000-0000-000000000003,10000006-0000-0000-0000-000000000006,5
10000007-0000-0000-0000-000000000007,d0000001-0000-0000-0000-000000000004,10000006-0000-0000-0000-000000000009,1
10000007-0000-0000-0000-000000000008,d0000001-0000-0000-0000-000000000004,10000006-0000-0000-0000-000000000010,5
10000007-0000-0000-0000-000000000009,d0000001-0000-0000-0000-000000000005,10000006-0000-0000-0000-000000000007,1
10000007-0000-0000-0000-000000000010,d0000001-0000-0000-0000-000000000005,10000006-0000-0000-0000-000000000008,5
