ID,title,rank,department_ID
10000002-0000-0000-0000-000000000001,Cadet,1,d0000001-0000-0000-0000-000000000001
10000002-0000-0000-0000-000000000002,Associate,2,d0000001-0000-0000-0000-000000000001
10000002-0000-0000-0000-000000000003,Specialist,3,d0000001-0000-0000-0000-000000000001
10000002-0000-0000-0000-000000000004,Officer,4,d0000001-0000-0000-0000-000000000001
10000002-0000-0000-0000-000000000005,Commander,5,d0000001-0000-0000-0000-000000000001
10000002-0000-0000-0000-000000000006,Captain,6,d0000001-0000-0000-0000-000000000001
10000002-0000-0000-0000-000000000007,Admiral,7,d0000001-0000-0000-0000-000000000001
10000002-0000-0000-0000-000000000008,Cadet,1,d0000001-0000-0000-0000-000000000002
10000002-0000-0000-0000-000000000009,Associate,2,d0000001-0000-0000-0000-000000000002
10000002-0000-0000-0000-000000000010,Specialist,3,d0000001-0000-0000-0000-000000000002
10000002-0000-0000-0000-000000000011,Officer,4,d0000001-0000-0000-0000-000000000002
10000002-0000-0000-0000-000000000012,Commander,5,d0000001-0000-0000-0000-000000000002
10000002-0000-0000-0000-000000000013,Captain,6,d0000001-0000-0000-0000-000000000002
10000002-0000-0000-0000-000000000014,Admiral,7,d0000001-0000-0000-0000-000000000002
10000002-0000-0000-0000-000000000015,Cadet,1,d0000001-0000-0000-0000-000000000003
10000002-0000-0000-0000-000000000016,Associate,2,d0000001-0000-0000-0000-000000000003
10000002-0000-0000-0000-000000000017,Specialist,3,d0000001-0000-0000-0000-000000000003
10000002-0000-0000-0000-000000000018,Officer,4,d0000001-0000-0000-0000-000000000003
10000002-0000-0000-0000-000000000019,Commander,5,d0000001-0000-0000-0000-000000000003
10000002-0000-0000-0000-000000000020,Captain,6,d0000001-0000-0000-0000-000000000003
10000002-0000-0000-0000-000000000021,Admiral,7,d0000001-0000-0000-0000-000000000003
10000002-0000-0000-0000-000000000022,Cadet,1,d0000001-0000-0000-0000-000000000004
10000002-0000-0000-0000-000000000023,Associate,2,d0000001-0000-0000-0000-000000000004
10000002-0000-0000-0000-000000000024,Specialist,3,d0000001-0000-0000-0000-000000000004
10000002-0000-0000-0000-000000000025,Officer,4,d0000001-0000-0000-0000-000000000004
10000002-0000-0000-0000-000000000026,Commander,5,d0000001-0000-0000-0000-000000000004
10000002-0000-0000-0000-000000000027,Captain,6,d0000001-0000-0000-0000-000000000004
10000002-0000-0000-0000-000000000028,Admiral,7,d0000001-0000-0000-0000-000000000004
10000002-0000-0000-0000-000000000029,Cadet,1,d0000001-0000-0000-0000-000000000005
10000002-0000-0000-0000-000000000030,Associate,2,d0000001-0000-0000-0000-000000000005
10000002-0000-0000-0000-000000000031,Specialist,3,d0000001-0000-0000-0000-000000000005
10000002-0000-0000-0000-000000000032,Officer,4,d0000001-0000-0000-0000-000000000005
10000002-0000-0000-0000-000000000033,Commander,5,d0000001-0000-0000-0000-000000000005
10000002-0000-0000-0000-000000000034,Captain,6,d0000001-0000-0000-0000-000000000005
10000002-0000-0000-0000-000000000035,Admiral,7,d0000001-0000-0000-0000-000000000005
